;Phrase
0;El Señor de los anillos: La Comunidad del anillo 1 Tolkien, J.R.R
1;El Señor de los anillos: La Comunidad del anillo ********************** ******************** ******************* PROLOGO 1 De los Hobbits Este libro trata principalmente de lo s Hobbits, y el lector descubrirá en sus páginas mucho del carácter y algo de la historia de este pueblo.Podrá encontrarse más información en los extractos del Libro Rojo de la Frontera del Oeste que ya han sido publicados con el título de El Hobbit
2;El relato tuvo su origen en los primeros capítulos del Libro Rojo, compuesto por Bilbo Bolsón el primer Hobbit que fue famoso en el mundo entero y que él tituló Historia de una ida y de una vuelta, pues contaba el viaje de Bilbo hacia el Este y la vuelta, aventura que más tarde enredaría a todos los Hobbits en los importantes acontecimientos que aquí se relatan
3;No obstante, muchos querrán saber desde un principio algo más de este pueblo notable y quizás algunos no tengan el libro anterior
4;Para esos lectores se han reunido aquí algunas notas sobre los puntos más importantes de la tradición hobbit, y se recuerda brevemente la primera aventura
5;Los Hobbits son un pueblo sencillo y muy antiguo, más numeroso en tiempos remotos que en la actualidad
6;Amaban la paz, la tranquilidad y el cultivo de la buena tierra, y no había para ellos paraje mejor que un campo bien aprovechado y bien ordenado
7;No entienden ni entendían ni gustan de maquinarias más complicadas que una fragua, un molino de agua o un telar de mano, aunque fueron muy hábiles con toda clase de herramientas
8;En otros tiempos desconfiaban en general de la Gente Grande, como nos llaman y ahora nos eluden con terror y es difícil encontrarlos
9;Tienen el oído agudo y la mirada penetrante, y aunque engordan fácilmente y nunca se apresuran si no es necesario, se mueven con agilidad y destreza
10;Dominaron desde un principio el arte de desaparecer rápido y en silencio, cuando la Gente Grande con la que no querían tropezar se les acercaba casualmente, y han desarrollado este arte hasta el punto de que a los Hombres puede parecerles verdadera magia
11;Pero los Hobbits jamás han estudiado magia de ninguna índole y esas rápidas desapariciones se deben únicamente a una habilidad profesional, que la herencia, la práctica y una íntima amistad con la tierra han desarrollado tanto que es del todo inimitable para las razas más grandes y desmayadas
12;"Los Hobbits son gente diminuta, más pequeña que los Enanos; menos corpulenta y fornida, pero no mucho más baja"
13;La estatura es variable, entre los dos y los cuatro pies de nuestra medida
14;Hoy pocas veces alcanzan los El Señor de los anillos: La Comunidad del anillo 2 tres pies, pero se dice que en otros tiempos eran más altos
15;De acuerdo con el Libro Rojo, Bandobras Tuk, apodado el Toro Bramador, hijo de Isengrim Ñ, medía cuatro pies y medio y era capaz de montar a caballo
16;En los archivos de los Hobbits se cuenta que sólo fue superado por dos famosos personajes de la antigüedad, pero de este hecho curioso se habla en el presente libro
17;En cuanto a los Hobbits de la Comarca, de quienes tratan estas relaciones, conocieron en un tiempo la paz y la prosperidad y fueron entonces un pueblo feliz
18;"Vestían ropas de brillantes colores, y preferían el amarillo y el verde; muy rara vez usaban zapatos, pues las plantas de los pies eran en ellos duras como el cuero, fuertes y flexibles y los pies mismos estaban recubiertos de un espeso pelo rizado, muy parecido al pelo de las cabezas, de color castaño casi siempre"
19;Por esta razón el único oficio que practicaban poco era el de zapatero, pero tenían dedos largos y habilidosos que les permitían fabricar muchos otros objetos útiles y agradables
20;En general los rostros eran bonachones más que hermosos, anchos, de ojos vivos, mejillas rojizas y bocas dispuestas a la risa, a la comida y a la bebida
21;"Reían, comían y bebían a menudo y de buena gana; les gustaban las bromas sencillas en todo momento y comer seis veces al día (cuando podían)"
22;Eran hospitalarios, aficionados a las fiestas, hacían regalos espontáneamente y los aceptaban con entusiasmo
23;Es en verdad evidente que a pesar de un alejamiento posterior los Hobbits son parientes nuestros: están más cerca de nosotros que los Elfos y aun que los mismos Enanos
24;Antiguamente hablaban las lenguas de los Hombres, adaptadas a su propia modalidad, y tenían casi las mismas preferencias y aversiones que los Hombres
25;Mas ahora es imposible descubrir en qué consiste nuestra relación con ellos
26;El origen de los Hobbits viene de muy atrás, de los Días Antiguos, ya perdidos y olvidados
27;"Sólo los Elfos conservan algún registro de esa época desapareci da y sus tradiciones se refieren casi únicamente a la historia élfica, historia donde los Hombres aparecen muy de cuando en cuando; a los Hobbits ni siquiera se los menciona"
28;Sin embargo es obvio que los Hobbits vivían en paz en la Tierra Media muchos años antes que cualquier otro pueblo advirtiese siquiera que existían
29;Y como el mundo se pobló luego de extravías e incontables criaturas, esta Gente Pequeña pareció insignificante
30;Pero en los días de Bilbo y de Frodo, heredero de Bilbo, se transformaron de pronto a pesar de ellos mismos en importantes y famosos, y perturbaron los Concilios de los Grandes y de los Sabios
31;"Aquellos días la Tercera Edad de la Tierra Media han quedado muy atrás, y la conformación de las tierras en general ha cambiado mucho; pero las regiones en que vivían entonces los Hobbits eran sin duda las mismas de ahora: el Noroeste del Viejo Mundo, al este del Mar"
32;Los Hobbits del tiempo de Bilbo no sabían de dónde venían
33;El deseo de conocimiento (fuera de las ciencias genealógicas) no era común entre ellos, pero había aún descendientes de antiguas familias que estudiaban sus propios libros y hasta recogían de los Elfos, los Enanos y los Hombres noticias de épocas pasadas y de tierras distantes
34;Los recuerdos propios comienzan luego de que se establecieran en la Comarca y las leyendas más antiguas apenas si se remontan poco más allá de los Días del Exodo
35;Está perfectamente claro, no obstante, a través de estas leyendas y lo que puede descubrirse en el lenguaje y las costumbres de los Hobbits, que en un El Señor de los anillos: La Comunidad del anillo 3 pasado muy lejano ellos también se desplazaron hacia el oeste, como muchos otros pueblos
36;En las historias primitiv as hay referencias oscuras a los tiempos en que moraban en los altos valles del Anduin, entre los lindes del Gran Bosque Verde y las Montañas Nubladas
37;No se sabe con certeza por qué emprendieron más tarde el arduo y peligroso cruce de las Montañas y entraron en Eriador
38;Los relatos hobbits hablan de la multiplicación de los Hombres en la tierra y de una sombra que cayó sobre la floresta y la oscureció, por lo que fue llamada desde entonces el Bosque Negro
39;Antes de cruzar las Montañas, los Hobbits ya se habían dividido en tres ramas un tanto diferentes los Pelosos, los Fuertes y los Albos
40;"Los Pelosos eran de piel más oscura, cuerpo menudo, cara lampiña, y no llevaban botas; de manos y pies bien proporcionados y ágiles preferían las tierras altas y las laderas de las colinas"
41;"Los Fuertes eran más anchos, de constitución más sólida; tenían pies y manos más grandes; preferían las llanuras y las orillas de los ríos"
