;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
0;2;0;1;0;1;5;0;0;2;0;1;0;0;0;2;0;3;1;0;6;3;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;22;0;1;5;10;4.714285714285714
1;1;1;1;0;1;4;0;1;3;2;0;0;2;1;2;0;4;1;0;3;0;2;0;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;23;0;0;26;7;4.125
2;4;1;2;0;3;12;3;0;4;2;0;1;3;3;3;0;6;3;0;11;2;7;6;3;2;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;58;0;3;3;9;4.7894736842105265
3;4;2;3;0;5;17;0;2;7;6;1;0;4;1;9;0;8;3;0;4;9;12;5;2;2;1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;73;1;5;1;11;4.791666666666667
4;4;0;3;0;5;5;2;2;3;5;0;0;5;2;3;0;2;0;0;6;4;2;2;0;2;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;43;0;3;2;10;4.916666666666667
5;10;2;2;0;3;9;1;3;8;3;0;1;3;2;3;0;1;0;0;3;2;3;2;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;44;0;3;1;8;3.736842105263158
6;11;2;7;0;6;19;4;4;10;8;0;1;5;4;16;0;8;2;0;8;11;7;7;2;3;0;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;99;0;4;1;9;4.314285714285714
7;7;1;1;0;6;10;1;0;5;5;0;0;6;1;8;0;5;1;0;5;5;3;2;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;51;0;3;3;8;4.333333333333333
8;10;2;2;0;8;15;1;2;8;4;0;0;3;1;3;0;5;0;0;7;8;13;3;2;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;68;0;3;2;10;4.863636363636363
9;3;2;1;0;4;6;2;0;4;4;0;1;1;0;5;0;6;1;0;2;1;10;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;37;0;0;2;7;4.357142857142857
