;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
0;7;1;9;0;1;15;2;2;1;9;1;0;3;0;8;0;7;2;0;7;4;10;5;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;58;0;4;12;17;7.533333333333333
1;7;2;6;0;1;16;3;2;5;5;1;0;2;2;7;0;7;3;0;11;4;3;3;2;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;59;0;2;9;19;5.9411764705882355
2;8;1;2;0;6;17;2;2;9;3;1;1;3;0;11;0;9;0;0;7;9;12;6;1;3;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;75;0;6;18;12;4.464285714285714
3;19;5;6;0;8;24;3;0;1;7;0;0;5;2;10;0;5;4;0;15;6;9;3;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;83;0;0;1;14;6.260869565217392
4;6;0;2;0;5;5;0;1;5;6;0;0;3;2;6;0;6;0;0;6;4;10;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;46;0;4;3;13;5.538461538461538
5;2;2;0;0;1;5;2;0;2;3;0;1;1;3;2;0;5;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;20;0;1;1;8;4.375
6;3;1;1;0;1;3;0;3;3;1;0;1;1;0;4;0;2;0;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;21;0;2;4;13;5.333333333333333
7;3;0;3;0;1;9;5;0;2;4;0;0;4;0;3;0;5;2;0;5;4;5;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;37;0;3;4;9;5.545454545454546
8;23;7;5;0;11;41;7;6;6;17;2;4;17;4;23;0;23;5;2;16;24;24;20;5;4;0;3;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;179;2;10;30;19;5.5423728813559325
9;2;0;4;0;1;6;3;0;1;4;0;0;4;3;2;0;8;3;0;6;7;4;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;39;0;4;1;18;5.7272727272727275
