;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
0;9;1;2;0;5;9;1;1;4;8;0;7;5;2;4;0;8;5;0;11;6;7;4;1;1;1;0;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;39;70;0;7;12;17;8.23076923076923
1;10;2;0;0;3;13;0;0;3;5;1;3;3;2;5;0;1;2;0;7;6;6;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;48;0;3;7;10;5.0625
2;12;4;5;0;9;22;2;0;7;13;0;7;3;9;8;0;7;1;0;14;13;13;10;1;2;1;0;1;3;5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;67;110;0;9;8;14;6.142857142857143
3;1;2;0;0;1;4;0;0;0;2;0;1;2;0;4;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;14;0;0;5;6;3.5714285714285716
4;4;1;2;0;4;9;0;1;2;8;0;1;1;6;7;0;3;2;0;3;6;5;2;0;0;1;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;27;47;0;4;6;14;5.833333333333333
5;4;4;4;0;9;26;1;2;6;13;0;3;6;2;13;0;5;1;0;9;9;9;4;0;0;0;0;3;2;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;54;89;0;7;6;15;6.523809523809524
6;12;3;7;0;13;38;3;4;13;24;1;4;8;7;19;0;12;8;0;11;18;11;8;0;2;0;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;95;144;0;13;17;25;7.806451612903226
7;17;3;8;0;14;36;1;9;10;19;0;6;10;2;24;0;5;3;0;18;18;15;10;3;1;0;0;1;4;7;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;91;160;0;9;11;19;8.535714285714286
8;3;1;6;0;4;25;3;6;8;13;0;1;2;6;19;0;11;0;0;17;9;8;9;3;1;1;0;1;3;6;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;63;108;0;7;8;14;6.56
9;9;1;6;0;17;27;1;5;7;19;0;3;9;4;17;0;3;1;0;10;14;8;4;1;1;0;0;1;4;6;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;65;118;0;12;8;16;6.653846153846154
10;5;0;10;0;26;48;3;11;13;26;0;2;3;4;19;0;8;2;0;21;14;13;11;0;1;0;0;0;4;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;157;0;15;17;18;6.394736842105263
11;3;2;3;0;1;9;0;3;4;6;0;0;1;1;7;0;0;0;0;5;2;3;3;0;2;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;40;0;5;2;16;9.333333333333334
12;1;1;2;0;6;17;1;3;3;7;0;1;4;5;13;0;3;1;0;4;6;8;7;2;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;65;0;2;4;15;5.611111111111111
13;6;4;2;0;3;21;2;5;4;6;0;3;6;2;16;0;2;0;0;12;3;8;4;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;41;74;1;11;6;15;8.0
14;9;4;2;0;7;30;1;8;3;14;0;1;4;7;19;0;4;0;0;12;7;9;5;2;2;0;1;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;93;0;6;5;21;7.65
15;9;3;2;0;5;13;2;4;1;8;1;4;3;3;11;0;3;2;0;7;10;8;6;2;3;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40;77;0;8;8;16;6.444444444444445
16;5;2;3;0;9;20;3;3;3;20;0;5;6;7;11;0;5;3;0;17;12;12;7;2;1;1;0;1;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;60;106;0;11;16;19;6.791666666666667
