;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words;diacritic_count;ratio_vowels_consonants;mean_vowel_per_word;phrase
0;5;1;0;0;2;5;0;0;0;1;0;2;2;0;1;0;0;2;0;2;6;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;22;0;2;4;9;4.375;1;0.5454545454545454;0.27906976744186046;Das erste KapitelEs war spät abends, als K
1;2;0;1;0;2;4;2;1;1;2;0;0;1;1;2;0;1;0;0;1;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;17;0;2;3;6;4.0;0;0.5294117647058824;0.3;Das Dorf lag in tiefem Schnee
2;5;3;9;0;4;14;1;3;11;7;0;0;4;2;11;0;4;0;0;5;10;7;5;1;2;0;0;1;4;9;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;90;0;16;6;11;6.052631578947368;1;0.4;0.26865671641791045;Vom Schloßberg war nichts zusehen, Nebel und Finsternis umgaben ihn, auch nicht der schwächste Lichtschein deutete das großeSchloß an
3;4;3;3;0;7;14;3;0;3;5;0;2;4;2;5;0;4;1;0;9;2;3;3;1;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;32;53;0;8;4;11;5.3125;2;0.6037735849056604;0.31683168316831684;auf der Holzbrücke, die von der Landstraße zum Dorf führte, und blickte indie scheinbare Leere empor
4;12;2;5;0;4;19;0;4;7;9;0;2;3;6;13;0;3;1;0;17;7;12;5;3;7;0;0;3;1;5;1;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;51;105;0;9;7;10;4.967741935483871;3;0.4857142857142857;0.2756756756756757;Dann ging er, ein Nachtlager suchen| im Wirtshaus war man noch wach, der Wirt hatte zwar keinZimmer zu vermieten, aber er wollte, von dem späten Gast äußerst überrascht und verwirrt, K
5;4;1;2;0;1;6;2;0;2;3;0;1;2;1;4;0;1;0;0;3;7;3;2;0;1;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;34;0;6;2;13;6.571428571428571;0;0.47058823529411764;0.3018867924528302;in derWirtsstube auf einem Strohsack schlafen lassen
6;7;6;5;0;7;23;1;2;9;10;0;1;6;5;15;0;7;0;0;8;8;8;3;1;2;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;89;1;5;7;12;5.269230769230769;1;0.5730337078651685;0.3128834355828221;Einige Bauern warennoch beim Bier, aber er wollte sich mit niemandem unterhalten, holte selbst den Strohsack vomDachboden und legte sich in der Nähe des Ofens hin
7;6;1;2;0;4;15;2;2;2;8;0;0;3;3;11;0;1;1;0;7;4;3;2;0;4;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;34;53;1;3;3;11;4.3;2;0.6415094339622641;0.32075471698113206;Warm war es, die Bauern waren still, ein wenigprüfte er sie noch mit den müden Augen, dann schlief er ein
8;3;1;2;0;2;7;1;1;1;1;0;2;0;0;1;0;1;0;0;5;1;2;3;0;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;25;0;2;2;7;4.75;0;0.6;0.32608695652173914;Aber kurze Zeit darauf wurde er schon geweckt
9;10;2;4;0;5;16;1;6;6;10;1;1;2;7;12;0;1;1;0;5;8;9;5;0;1;0;0;1;3;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;79;1;7;6;21;6.666666666666667;1;0.5443037974683544;0.3115942028985507;Ein junger Mann, städtisch angezogen, mitschauspielerhaftem Gesicht, die Augen schmal, die Augenbrauen stark, stand mit dem Wirt nebenihm
10;5;2;2;0;4;17;0;2;8;4;0;0;1;2;8;0;1;0;0;7;6;3;7;0;1;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;35;52;1;0;3;13;5.0;1;0.6730769230769231;0.3431372549019608;Die Bauern waren auch noch da, einige hatten ihre Sessel herumgedreht, um besser zu sehenund zu hören
11;0;0;4;0;2;6;1;2;6;3;1;1;2;1;3;0;0;0;0;2;4;2;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;12;37;0;5;3;13;5.5;1;0.32432432432432434;0.23076923076923078;Der junge Mensch entschuldigte sich sehr höflich, K
12;9;4;7;0;8;24;1;3;11;7;0;2;8;2;11;0;10;0;0;9;21;13;2;1;5;0;0;2;3;6;0;0;3;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;54;125;0;13;7;16;6.071428571428571;2;0.432;0.2727272727272727;geweckt zu haben, stellte sich alsSohn des Schloßkastellans vor und sagte dann: »Dieses Dorf ist Besitz des Schlosses, wer hier wohntoder übernachtet, wohnt oder übernachtet gewissermaßen im Schloß
13;4;1;1;0;3;4;2;1;2;3;0;0;2;1;4;0;1;0;0;3;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;23;0;0;2;13;7.2;1;0.6086956521739131;0.34146341463414637;Niemand darf das ohnegräfliche Erlaubnis
14;4;4;3;0;1;14;0;3;5;8;0;0;2;0;8;0;3;0;0;4;6;4;1;1;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;46;0;5;2;15;6.083333333333333;0;0.6521739130434783;0.35294117647058826;Sie aber haben eine solche Erlaubnis nicht oder haben sie wenigstens nichtvorgezeigt
15;14;4;9;0;11;33;3;7;17;16;1;3;8;3;19;0;5;1;0;17;9;16;7;2;2;0;0;1;1;8;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;77;144;0;11;10;21;5.285714285714286;2;0.5347222222222222;0.2916666666666667;hatte sich halb aufgerichtet, hatte die Haare zurechtgestrichen, blickte die Leute von unten her anund sagte: »In welches Dorf habe ich mich verirrt? Ist denn hier ein Schloß?«»Allerdings«, sagte der junge Mann langsam, während hier und dort einer den Kopf über K
16;2;0;2;0;2;7;1;1;3;0;0;0;2;0;2;0;1;0;0;3;6;5;0;0;2;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;34;0;5;4;15;7.166666666666667;1;0.3235294117647059;0.22448979591836735;schüttelte,»das Schloß des Herrn Grafen Westwest
17;5;3;1;0;2;6;1;1;2;2;0;1;1;3;6;0;0;0;0;3;1;2;4;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;30;0;1;4;11;5.1;1;0.6;0.29508196721311475;«»Und man muß die Erlaubnis zum Übernachten haben?« fragte K
18;2;2;3;0;2;15;1;3;5;7;0;0;6;2;6;0;3;0;0;6;2;8;3;2;1;0;0;1;0;3;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;34;55;0;2;1;16;5.733333333333333;4;0.6181818181818182;0.33663366336633666;, als wolle er sich davonüberzeugen, ob er die früheren Mitteilungen nicht vielleicht geträumt hätte
19;7;2;0;0;4;7;1;2;1;5;0;1;2;2;7;0;3;1;0;7;3;4;3;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26;41;0;1;5;9;4.176470588235294;1;0.6341463414634146;0.29545454545454547;»Die Erlaubnis muß man haben«, war die Antwort, und es lag darin ein großer Spott für K
20;13;3;3;0;9;21;1;5;4;10;1;2;5;8;14;0;3;0;0;10;10;9;6;0;3;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;55;91;1;3;9;14;5.033333333333333;2;0.6043956043956044;0.30386740331491713;, als derjunge Mann mit ausgestrecktem Arm den Wirt und die Gäste fragte: »Oder muß man etwa dieErlaubnis nicht haben?«»Dann werde ich mir also die Erlaubnis holen müssen«, sagte K
21;2;1;3;0;4;8;1;1;4;2;0;1;3;0;5;0;3;0;0;1;4;1;2;1;1;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;35;0;2;1;9;5.0;1;0.5142857142857142;0.3;gähnend und schob die Decke vonsich, als wolle er aufstehen
22;3;0;0;0;2;5;1;2;0;0;2;0;0;2;6;0;1;0;0;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;20;0;0;2;6;4.125;0;0.5;0.24390243902439024;»Ja von wem denn?« fragte der junge Mann
23;2;0;0;0;0;3;1;2;1;0;0;1;0;1;2;0;1;0;0;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;0;1;4;8;4.6;0;0.42857142857142855;0.21428571428571427;»Vom Herrn Grafen«, sagte K
24;1;3;1;0;2;5;0;1;1;4;0;0;1;0;3;0;0;0;0;3;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;21;0;3;0;12;5.5;1;0.5238095238095238;0.28205128205128205;, »es wird nichts anderes übrigbleiben
25;5;1;3;0;3;12;2;2;4;6;2;1;2;4;11;0;2;0;0;10;2;9;5;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31;62;0;6;7;12;5.529411764705882;1;0.5;0.27927927927927926;«»Jetzt um Mitternacht die Erlaubnis vom Herrn Grafen holen?« rief der junge Mann und trat einenSchritt zurück
26;2;0;2;0;1;1;1;2;2;3;0;1;1;1;1;0;0;0;0;1;2;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;20;0;1;2;9;4.666666666666667;1;0.35;0.20588235294117646;»Ist das nicht möglich?« fragte K
27;6;2;3;0;1;10;0;3;3;4;1;1;1;3;6;0;1;0;0;5;3;2;4;0;2;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;39;0;1;4;12;5.0;0;0.6410256410256411;0.32051282051282054;»Warum haben Sie mich also geweckt?«Nun geriet aber der junge Mann außer sich
