;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words;diacritic_count;ratio_vowels_consonants;mean_vowel_per_word;phrase
0;8;4;5;0;7;14;2;0;2;6;1;0;9;2;8;0;15;2;1;9;7;8;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;50;69;0;2;7;11;4.576923076923077;4;0.7246376811594203;0.3448275862068966;Podrá encontrarse más información en los extractos del Libro Rojo de la Frontera del Oeste que ya han sido publicados con el título de El Hobbit
1;26;11;6;0;9;39;2;1;4;17;2;0;21;8;16;0;30;7;5;17;18;22;18;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;2;0;0;0;0;0;0;137;157;0;0;10;15;4.432835820895522;7;0.8726114649681529;0.37637362637362637;El relato tuvo su origen en los primeros capítulos del Libro Rojo, compuesto por Bilbo Bolsón el primer Hobbit que fue famoso en el mundo entero y que él tituló Historia de una ida y de una vuelta, pues contaba el viaje de Bilbo hacia el Este y la vuelta, aventura que más tarde enredaría a todos los Hobbits en los importantes acontecimientos que aquí se relatan
2;7;5;2;0;3;13;0;3;1;6;0;0;6;2;11;0;11;3;2;7;8;6;6;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;62;0;1;1;9;4.909090909090909;3;0.7419354838709677;0.35384615384615387;No obstante, muchos querrán saber desde un principio algo más de este pueblo notable y quizás algunos no tengan el libro anterior
3;15;4;3;0;4;17;0;1;2;6;0;0;5;4;9;0;9;4;1;12;12;9;6;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;56;73;0;0;1;11;5.2;3;0.7671232876712328;0.36129032258064514;Para esos lectores se han reunido aquí algunas notas sobre los puntos más importantes de la tradición hobbit, y se recuerda brevemente la primera aventura
4;5;3;2;0;2;8;0;1;1;5;0;0;6;5;7;0;11;2;1;2;8;5;7;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;48;0;0;2;10;4.722222222222222;1;0.7708333333333334;0.3592233009708738;Los Hobbits son un pueblo sencillo y muy antiguo, más numeroso en tiempos remotos que en la actualidad
5;21;5;3;0;6;12;0;0;2;6;2;0;8;3;8;0;9;5;2;8;1;3;5;2;0;0;3;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;54;64;0;0;1;12;4.37037037037037;1;0.84375;0.3724137931034483;Amaban la paz, la tranquilidad y el cultivo de la buena tierra, y no había para ellos paraje mejor que un campo bien aprovechado y bien ordenado
6;19;1;4;0;8;17;2;3;2;9;0;0;5;7;20;0;9;1;3;6;7;6;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;69;76;0;1;1;12;4.741935483870968;3;0.9078947368421053;0.38764044943820225;No entienden ni entendían ni gustan de maquinarias más complicadas que una fragua, un molino de agua o un telar de mano, aunque fueron muy hábiles con toda clase de herramientas
7;10;1;5;0;5;15;2;3;1;4;0;0;7;3;14;0;13;1;0;9;7;5;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;44;66;0;1;3;12;4.782608695652174;1;0.6666666666666666;0.3308270676691729;En otros tiempos desconfiaban en general de la Gente Grande, como nos llaman y ahora nos eluden con terror y es difícil encontrarlos
8;14;0;4;0;7;20;1;3;0;7;0;0;4;3;15;0;7;2;1;7;7;5;6;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;56;65;0;1;1;11;4.730769230769231;2;0.8615384615384616;0.37583892617449666;Tienen el oído agudo y la mirada penetrante, y aunque engordan fácilmente y nunca se apresuran si no es necesario, se mueven con agilidad y destreza
9;27;2;9;0;14;36;0;3;3;8;0;0;11;4;15;0;14;8;3;19;12;8;8;1;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;95;116;0;1;4;12;4.930232558139535;2;0.8189655172413793;0.37254901960784315;Dominaron desde un principio el arte de desaparecer rápido y en silencio, cuando la Gente Grande con la que no querían tropezar se les acercaba casualmente, y han desarrollado este arte hasta el punto de que a los Hombres puede parecerles verdadera magia
10;40;5;6;0;17;24;1;3;5;19;1;0;12;8;19;0;14;6;2;13;20;11;6;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;110;135;0;0;2;14;5.125;7;0.8148148148148148;0.3741496598639456;Pero los Hobbits jamás han estudiado magia de ninguna índole y esas rápidas desapariciones se deben únicamente a una habilidad profesional, que la herencia, la práctica y una íntima amistad con la tierra han desarrollado tanto que es del todo inimitable para las razas más grandes y desmayadas
11;7;3;2;0;2;9;1;1;2;4;1;0;3;5;9;1;11;3;2;3;8;4;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;52;0;0;3;10;4.842105263157895;2;0.7307692307692307;0.34234234234234234;Los Hobbits son gente diminuta, más pequeña que los Enanos| menos corpulenta y fornida, pero no mucho más baja
12;8;1;1;0;4;9;0;0;0;3;0;0;4;1;2;0;4;1;0;5;7;5;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;33;0;2;1;9;4.357142857142857;0;0.8181818181818182;0.36;La estatura es variable, entre los dos y los cuatro pies de nuestra medida
13;6;0;4;0;1;11;0;0;1;3;0;0;3;2;4;0;8;4;1;4;10;4;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;41;0;0;1;8;4.235294117647059;1;0.7317073170731707;0.32967032967032966;Hoy pocas veces alcanzan los   tres pies, pero se dice que en otros tiempos eran más altos
14;16;5;5;0;10;11;0;1;1;6;2;1;5;5;4;1;16;3;0;11;3;4;3;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;53;65;0;1;9;9;4.321428571428571;1;0.8153846153846154;0.35570469798657717;De acuerdo con el Libro Rojo, Bandobras Tuk, apodado el Toro Bramador, hijo de Isengrim Ñ, medía cuatro pies y medio y era capaz de montar a caballo
15;10;4;4;0;7;22;2;1;5;5;1;0;7;1;6;0;16;5;1;8;16;5;5;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;60;76;0;1;2;11;4.5;2;0.7894736842105263;0.36363636363636365;En los archivos de los Hobbits se cuenta que sólo fue superado por dos famosos personajes de la antigüedad, pero de este hecho curioso se habla en el presente libro
16;13;3;7;0;4;17;2;0;1;7;0;0;7;2;13;0;13;5;1;7;8;7;6;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;71;1;0;3;11;4.607142857142857;0;0.7887323943661971;0.35668789808917195;En cuanto a los Hobbits de la Comarca, de quienes tratan estas relaciones, conocieron en un tiempo la paz y la prosperidad y fueron entonces un pueblo feliz
17;28;6;9;0;9;38;3;0;0;11;0;0;21;7;9;1;21;12;0;19;28;8;9;3;0;1;6;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;109;149;0;1;1;11;4.660714285714286;2;0.7315436241610739;0.3438485804416404;Vestían ropas de brillantes colores, y preferían el amarillo y el verde| muy rara vez usaban zapatos, pues las plantas de los pies eran en ellos duras como el cuero, fuertes y flexibles y los pies mismos estaban recubiertos de un espeso pelo rizado, muy parecido al pelo de las cabezas, de color castaño casi siempre
18;17;5;7;0;5;16;2;2;2;9;1;0;7;2;6;0;17;6;2;12;11;8;3;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;67;83;0;0;1;11;5.172413793103448;5;0.8072289156626506;0.3743016759776536;Por esta razón el único oficio que practicaban poco era el de zapatero, pero tenían dedos largos y habilidosos que les permitían fabricar muchos otros objetos útiles y agradables
19;17;4;4;0;4;11;0;1;3;7;3;0;7;4;6;0;14;1;1;7;17;2;2;2;0;0;2;1;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;72;0;2;1;10;4.464285714285714;1;0.7222222222222222;0.33986928104575165;En general los rostros eran bonachones más que hermosos, anchos, de ojos vivos, mejillas rojizas y bocas dispuestas a la risa, a la comida y a la bebida
20;16;5;5;0;6;13;0;2;0;2;0;0;5;6;12;0;10;1;0;3;9;3;4;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;50;62;1;0;1;9;4.423076923076923;5;0.8064516129032258;0.3546099290780142;Reían, comían y bebían a menudo y de buena gana| les gustaban las bromas sencillas en todo momento y comer seis veces al día (cuando podían)
21;16;1;4;0;1;9;2;1;2;6;0;0;4;2;9;0;9;3;0;3;11;6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;43;50;0;0;1;15;6.785714285714286;2;0.86;0.3944954128440367;Eran hospitalarios, aficionados a las fiestas, hacían regalos espontáneamente y los aceptaban con entusiasmo
22;9;2;2;0;5;22;1;0;1;6;1;0;5;4;12;0;15;3;3;8;19;8;6;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;77;0;1;4;11;4.6;2;0.7792207792207793;0.35714285714285715;Es en verdad evidente que a pesar de un alejamiento posterior los Hobbits son parientes nuestros: están más cerca de nosotros que los Elfos y aun que los mismos Enanos
23;21;4;2;0;6;13;1;2;3;7;0;0;7;6;8;0;7;4;1;6;15;4;4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;53;72;0;2;3;12;5.521739130434782;1;0.7361111111111112;0.35333333333333333;Antiguamente hablaban las lenguas de los Hombres, adaptadas a su propia modalidad, y tenían casi las mismas preferencias y aversiones que los Hombres
24;5;2;4;0;1;8;0;0;1;5;0;0;4;2;5;0;5;1;1;5;8;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;28;37;0;1;1;9;5.333333333333333;2;0.7567567567567568;0.3684210526315789;Mas ahora es imposible descubrir en qué consiste nuestra relación con ellos
25;5;2;0;0;8;8;0;2;1;6;0;0;4;1;3;0;8;1;0;3;8;3;2;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;31;41;0;0;4;9;4.352941176470588;2;0.7560975609756098;0.34065934065934067;El origen de los Hobbits viene de muy atrás, de los Días Antiguos, ya perdidos y olvidados
26;22;3;11;0;9;23;3;2;4;17;0;0;9;4;15;0;18;3;1;12;21;6;5;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;90;106;1;2;4;11;4.95;5;0.8490566037735849;0.37815126050420167;Sólo los Elfos conservan algún registro de esa época desapareci da y sus tradiciones se refieren casi únicamente a la historia élfica, historia donde los Hombres aparecen muy de cuando en cuando| a los Hobbits ni siquiera se los menciona
